Class,Title,FLSA,Grade,"Hourly
Minimum","Hourly
Midpoint","Hourly
Maximum","Annual
Minimum","Annual
Midpoint","Annual
Maximum"
4512,Business Tax Insp II,NEX,MAR5_8,$26.58,$33.58,$40.57,"$55,286.40","$69,836.00","$84,385.60"
4515,Business Tax Section Coordinator,NEX,MAR15_9,$31.33,$39.60,$47.87,"$65,166.40","$82,368.00","$99,569.60"
1340,Buyer,NEX,52,$24.54,$35.17,$45.79,"$51,043.20","$73,143.20","$95,243.20"
1625,Cable Programs Producer,EX,87,$29.27,$40.07,$50.87,"$60,881.60","$83,345.60","$105,809.60"
4412,Capital Program Manager,EX,89,$37.55,$51.08,$64.61,"$78,104.00","$106,246.40","$134,388.80"
2412,Carpenter,NEX,MAR10_7,$25.71,$32.49,$39.26,"$53,476.80","$67,568.80","$81,660.80"
6556,Case Investigator,NEX,MAR5_9,$28.60,$36.16,$43.71,"$59,488.00","$75,202.40","$90,916.80"
8512,Chemical Laboratory Supervisor,EX,MAR30_12,$43.32,$54.73,$66.14,"$90,105.60","$113,838.40","$137,571.20"
8511,Chemist,EX,MAR20_10,$35.13,$44.39,$53.64,"$73,070.40","$92,320.80","$111,571.20"
8521,Chemist Technologist,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
1060,Chief Cloud Architect,EX,MAR40_21,$68.93,$87.12,$105.30,"$143,374.40","$181,199.20","$219,024.00"
1015,Chief Enterprise Architect,EX,MAR40_20,$66.34,$83.83,$101.32,"$137,987.20","$174,366.40","$210,745.60"
200,Chief Environmental Officer,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
130,Chief Information Officer,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
1071,Chief Information Security Officer,EX,MAR40_21,$68.93,$87.12,$105.30,"$143,374.40","$181,199.20","$219,024.00"
132,Chief Labor Relations Officer,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
1508,Chief of Staff,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
133,Chief Operating Officer,EX,SMAP2,$74.23,$93.81,$113.39,"$154,398.40","$195,124.80","$235,851.20"
1042,Chief Records Officer,EX,MAR45_17,$61.25,$77.41,$93.56,"$127,400.00","$161,002.40","$194,604.80"
660,Child & Fam Services Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
6666,Child and Family Services Bureau Chief,EX,MAP_AA,$57.05,$72.10,$87.14,"$118,664.00","$149,957.60","$181,251.20"
6634,Child Care Services Supervisor,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
6632,Child Care Specialist,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
970,Clerk Of Circuit Court,EX,CONST,,,,,,
972,Clerk Of Circuit Court Chief Deputy,EX,MAR10_17,$46.47,$58.73,$70.98,"$96,657.60","$122,148.00","$147,638.40"
971,Clerk Of Circuit Court Deputy,EX,MAR10_14,$40.84,$51.60,$62.35,"$84,947.20","$107,317.60","$129,688.00"
115,Clerk To County Board,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
6324,Client Services Entry Bureau Chief,EX,MAP_AA,$57.05,$72.10,$87.14,"$118,664.00","$149,957.60","$181,251.20"
6740,Clinic Aide,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
6311,Clinical Psychologist Senior,EX,MAR25_13,$44.08,$55.70,$67.31,"$91,686.40","$115,845.60","$140,004.80"
6345,Clinical Services Bureau Chief,EX,MAP_AA,$57.05,$72.10,$87.14,"$118,664.00","$149,957.60","$181,251.20"
1062,"Cloud Solutions Provider, Associate",EX,MAR40_13,$49.38,$62.38,$75.38,"$102,710.40","$129,750.40","$156,790.40"
1030,"Cloud Solutions Provider, Principal",EX,MAR30_16,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
4510,Comm Revenue Assistant Deputy,EX,MAR10_11,$34.42,$43.51,$52.60,"$71,593.60","$90,500.80","$109,408.00"
6640,Comm Supports & Coord Services Bureau Chief,EX,MAP_AA,$57.05,$72.10,$87.14,"$118,664.00","$149,957.60","$181,251.20"
420,Commissioner Of The Revenue,EX,CONST,,,,,,
421,Commissioner Of The Revenue Chief Deputy (Admin),EX,MAR10_18,$48.27,$61.01,$73.74,"$100,401.60","$126,890.40","$153,379.20"
422,Commissioner Of The Revenue Deputy (Legal Counsel),EX,MAR10_17,$46.47,$58.73,$70.98,"$96,657.60","$122,148.00","$147,638.40"
424,Commissioner Of The Revenue Deputy (Pers Prop & Comp,EX,MAR10_17,$46.47,$58.73,$70.98,"$96,657.60","$122,148.00","$147,638.40"
423,Commissioner Of The Revenue Deputy (Programs),EX,MAR10_16,$44.70,$56.47,$68.24,"$92,976.00","$117,457.60","$141,939.20"
920,Commonwealth Attorney,EX,CONST,,,,,,
921,Commonwealth Attorney Chief Deputy,EX,MAR40_19,$63.83,$80.67,$97.50,"$132,766.40","$167,783.20","$202,800.00"
922,Commonwealth Attorney Deputy,EX,MAR40_17,$59.14,$74.74,$90.34,"$123,011.20","$155,459.20","$187,907.20"
9601,Commonwealth Atty I,EX,MAR25_10,$36.59,$46.23,$55.87,"$76,107.20","$96,158.40","$116,209.60"
9602,Commonwealth Atty II,EX,MAR40_12,$46.66,$58.95,$71.23,"$97,052.80","$122,605.60","$148,158.40"
9603,Commonwealth Atty III,EX,MAR45_14,$53.82,$68.01,$82.20,"$111,945.60","$141,460.80","$170,976.00"
1623,Communications Manager,EX,MAR20_15,$46.70,$59.01,$71.31,"$97,136.00","$122,730.40","$148,324.80"
1604,Communications Specialist I,NEX,86,$23.37,$34.58,$45.79,"$48,609.60","$71,926.40","$95,243.20"
1608,Communications Specialist II,EX,87,$29.27,$40.07,$50.87,"$60,881.60","$83,345.60","$105,809.60"
6602,Community Assistance Bureau Chief,EX,MAP_AA,$57.05,$72.10,$87.14,"$118,664.00","$149,957.60","$181,251.20"
5302,Community Codes Inspector II,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
5303,Community Codes Inspector III,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
5304,Community Codes Inspector IV,NEX,MAR25_9,$34.05,$43.04,$52.03,"$70,824.00","$89,523.20","$108,222.40"
5511,Community Codes Supervisor,EX,MAR20_12,$39.99,$50.52,$61.05,"$83,179.20","$105,081.60","$126,984.00"
300,"Community Planning, Housing & Development Dir",EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
727,Community Recreation Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
8128,Commuter Services Bureau Chief,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
7302,Comp Park Projects Section Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
144,Compensation Division Chief,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
3605,Comprehensive Planning Section Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
441,Comptroller,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
5311,Construction Codes Inspector I,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
5312,Construction Codes Inspector II,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
5313,Construction Codes Inspector III,NEX,MAR25_9,$34.05,$43.04,$52.03,"$70,824.00","$89,523.20","$108,222.40"
5314,Construction Codes Supervisor,EX,MAR25_12,$41.66,$52.63,$63.59,"$86,652.80","$109,460.00","$132,267.20"
5401,Construction Inspector Supervisor,EX,MAR20_13,$42.32,$53.47,$64.61,"$88,025.60","$111,207.20","$134,388.80"
5712,Construction Management Section Supervisor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
5404,Construction Management Specialist,NEX,12,$33.32,$42.10,$50.87,"$69,305.60","$87,557.60","$105,809.60"
5400,Construction Management Supervisor,EX,MAR20_13,$42.32,$53.47,$64.61,"$88,025.60","$111,207.20","$134,388.80"
5458,Construction Plan Review Supervisor,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
5318,Construction Plans Examiner I,NEX,MAR35_9,$36.77,$46.48,$56.19,"$76,481.60","$96,678.40","$116,875.20"
5322,Construction Plans Examiner II,NEX,MAR45_9,$39.50,$49.93,$60.35,"$82,160.00","$103,844.00","$125,528.00"
6555,Contact Tracer,NEX,7,$23.37,$29.53,$35.68,"$48,609.60","$61,412.00","$74,214.40"
1088,Contract Specialist,EX,MAR15_10,$33.67,$42.54,$51.40,"$70,033.60","$88,472.80","$106,912.00"
2100,Control System Technician I,NEX,MAR25_8,$31.63,$39.96,$48.28,"$65,790.40","$83,106.40","$100,422.40"
2683,Control System Technician II,NEX,MAR25_9,$34.05,$43.04,$52.03,"$70,824.00","$89,523.20","$108,222.40"
8107,Control Systems Engineer,EX,MAR50_12,$49.98,$63.15,$76.31,"$103,958.40","$131,341.60","$158,724.80"
940,County Attorney,EX,None,,,,,,
9704,County Attorney (Treasurer),EX,MAR10_17,$46.47,$58.73,$70.98,"$96,657.60","$122,148.00","$147,638.40"
941,County Attorney Deputy,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
9703,County Attorney I,EX,MAR45_10,$42.45,$53.63,$64.81,"$88,296.00","$111,550.40","$134,804.80"
9702,County Attorney II,EX,MAR45_12,$48.32,$61.05,$73.77,"$100,505.60","$126,973.60","$153,441.60"
9701,County Attorney III,EX,MAR55_14,$57.53,$72.70,$87.86,"$119,662.40","$151,205.60","$182,748.80"
9700,County Attorney IV,EX,MAR55_16,$62.98,$79.57,$96.15,"$130,998.40","$165,495.20","$199,992.00"
116,County Auditor,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
9960,County Board Chairman,EX,Chairman,,,,,,"$95,734.00"
9950,County Board Member,EX,Board Member,,,,,,"$89,851.00"
9910,County Manager,EX,None,,,,,,
8203,County Standards Engineer,EX,MAR20_13,$42.32,$53.47,$64.61,"$88,025.60","$111,207.20","$134,388.80"
8358,County Surveyor,EX,MAR30_14,$48.25,$60.97,$73.69,"$100,360.00","$126,817.60","$153,275.20"
9126,Court Assistant,NEX,5,$19.39,$24.50,$29.60,"$40,331.20","$50,949.60","$61,568.00"
9411,Court Clerk,NEX,8,$25.30,$31.96,$38.62,"$52,624.00","$66,476.80","$80,329.60"
6710,Court Operations Administrator,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
900,Court Services Director,EX,SMAP,$54.17,$79.87,$105.57,"$112,673.60","$166,129.60","$219,585.60"
1285,Court Specialist I,NEX,7,$23.37,$29.53,$35.68,"$48,609.60","$61,412.00","$74,214.40"
1286,Court Specialist II,NEX,8,$25.30,$31.96,$38.62,"$52,624.00","$66,476.80","$80,329.60"
5081,Crime Analysis Technician,NEX,MAR10_8,$27.84,$35.17,$42.50,"$57,907.20","$73,153.60","$88,400.00"
5007,Crime Analyst,EX,MAR10_11,$34.42,$43.51,$52.60,"$71,593.60","$90,500.80","$109,408.00"
1251,Criminal Section Supervisor,NEX,MAR10_9,$29.96,$37.88,$45.79,"$62,316.80","$78,780.00","$95,243.20"
3443,Cultural Affairs Manager,EX,MAR35_14,$50.11,$63.32,$76.53,"$104,228.80","$131,705.60","$159,182.40"
3424,Cultural Affairs Program Specialist,EX,MAR10_15,$42.81,$54.09,$65.37,"$89,044.80","$112,507.20","$135,969.60"
2222,Custodial Worker II,NEX,MAR10_3,$17.22,$21.77,$26.31,"$35,817.60","$45,271.20","$54,724.80"
1000,Cybersecurity Engineer,EX,MAR30_16,$52.82,$66.73,$80.64,"$109,865.60","$138,798.40","$167,731.20"
1072,Data Architect,EX,MAR30_15,$50.59,$63.92,$77.25,"$105,227.20","$132,953.60","$160,680.00"
1070,Database Administrator,EX,MAR30_13,$45.85,$57.93,$70.00,"$95,368.00","$120,484.00","$145,600.00"
1061,Database Analyst,EX,MAR30_12,$43.32,$54.73,$66.14,"$90,105.60","$113,838.40","$137,571.20"
2833,Delivery Driver,NEX,MAR15_3,$18.00,$22.75,$27.50,"$37,440.00","$47,320.00","$57,200.00"
6221,Dental Assistant,NEX,MAR10_6,$23.47,$29.66,$35.85,"$48,817.60","$61,692.80","$74,568.00"
6200,Dentist,EX,MAR30_20,$61.61,$77.85,$94.09,"$128,148.80","$161,928.00","$195,707.20"
5310,Deputy Building Official,EX,XMAP1,$48.58,$64.34,$80.09,"$101,046.40","$133,816.80","$166,587.20"
1501,Deputy Clerk to County Board,EX,MAR10_11,$34.42,$43.51,$52.60,"$71,593.60","$90,500.80","$109,408.00"
101,Deputy County Manager,EX,EMAP,$68.39,$99.98,$131.56,"$142,251.20","$207,948.00","$273,644.80"
5232,Firefighter/EMT,NEX,F2,$28.85,$38.78,$48.70,"$60,008.00","$80,652.00","$101,296.00"
5050,Police Central Records Supervisor,NEX,9,$27.23,$34.43,$41.62,"$56,638.40","$71,604.00","$86,569.60"
5130,Deputy Sheriff Assistant,NEX,5,$19.39,$24.50,$29.60,"$40,331.20","$50,949.60","$61,568.00"
5146,Deputy Sheriff,NEX,S2,$27.69,$37.23,$46.76,"$57,595.20","$77,428.00","$97,260.80"
5147,Deputy Sheriff Corporal,NEX,S3,$28.81,$38.72,$48.62,"$59,924.80","$80,527.20","$101,129.60"
5148,Deputy Sheriff Sergeant,NEX,S5,$32.60,$43.83,$55.05,"$67,808.00","$91,156.00","$114,504.00"
5149,Deputy Sheriff Lieutenant,NEX,S6,$52.00,$64.14,$76.27,"$108,160.00","$133,400.80","$158,641.60"
